accession,uniprot_entry_name,gene_symbol,protein_name,ensembl_gene_id,primary_topology_class,simplified_topology_bucket,antibody_accessibility_tier,final_accessible_in_vivo,final_accessibility_bucket,final_accessibility_confidence,surfy_surfaceome_support,surfy_tm_domains,surfy_topology,surfy_uniprot_subcellular,surfy_uniprot_keywords,hpa_predicted_secreted_support,uhlen_secretome_support,supporting_evidence_sources,has_nonisoform_surface_annotation,has_nonisoform_secreted_annotation,has_isoform_specific_surface_annotation,has_isoform_specific_secreted_annotation,has_peripheral_membrane_annotation,surface_topology_values,nonisoform_surface_locations,nonisoform_secreted_locations,relevant_keywords,classification_evidence,classification_notes,explored_as_therapeutic,total_asset_count,active_program_asset_count,discontinued_asset_count,approved_asset_count,phase3_asset_count,phase2_asset_count,phase1_asset_count,unknown_asset_count
P04217,A1BG_HUMAN,A1BG,Alpha-1B-glycoprotein (Alpha-1-B glycoprotein),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P01023,A2MG_HUMAN,A2M,Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=6203908 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
A8K2U0,A2ML1_HUMAN,A2ML1,Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=16298998 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
A6NDX4,YO011_HUMAN,,Putative transmembrane protein ENSP00000320207,,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,0,,,,,0,0,UniProt,1,0,0,0,0,Single-pass membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass membrane protein],,0,0,0,0,0,0,0,0,0
A8MTW9,YB043_HUMAN,,Putative uncharacterized protein ENSP00000380674,,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,0,0,UniProt,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted,,0,0,0,0,0,0,0,0,0
A8MUN3,YQ048_HUMAN,,Putative uncharacterized protein ENSP00000381830,,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,0,0,UniProt,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted,,0,0,0,0,0,0,0,0,0
Q6P093,ADCL2_HUMAN,AADACL2,Arylacetamide deacetylase-like 2 (EC 3.1.1.-),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
O95477,ABCA1_HUMAN,ABCA1,Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,15,CY:1-24;TM:25-44;NC:45-640;TM:641-660;CY:661-679;TM:680-704;NC:705-715;TM:716-736;CY:737-743;TM:744-763;NC:764-773;TM:774-796;CY:797-827;TM:828-848;NC:849-1040;TM:1041-1059;CY:1060-1346;TM:1347-1369;NC:1370-1654;TM:1655-1677;CY:1678-1696;TM:1697-1722;NC:1723-1734;TM:1735-1754;CY:1755-1765;TM:1766-1788;NC:1789-1801;TM:1802-1820;CY:1821-1852;TM:1853-1874;NC:1875-2261,Membrane (Multi-pass membrane protein),Atherosclerosis;ATP-binding;Cholesterol metabolism;Complete proteome;Disease mutation;Disulfide bond;Glycoprotein;Lipid metabolism;Lipoprotein;Membrane;Nucleotide-binding;Palmitate;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Steroid metabolism;Sterol metabolism;Transmembrane;Transmembrane helix;Transport,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] pmids=19258317|19556522|24097981|35974019 || external_surface: SURFY positive surfaceome member tm_domains=15 topology=CY:1-24;TM:25-44;NC:45-640;TM:641-660;CY:661-679;TM:680-704;NC:705-715;TM:716-736;CY:737-743;TM:744-763;NC:764-773;TM:774-796;CY:797-827;TM:828-848;NC:849-1040;TM:1041-1059;CY:1060-1346;TM:1347-1369;NC:1370-1654;TM:1655-1677;CY:1678-1696;TM:1697-1722;NC:1723-1734;TM:1735-1754;CY:1755-1765;TM:1766-1788;NC:1789-1801;TM:1802-1820;CY:1821-1852;TM:1853-1874;NC:1875-2261,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q86UK0,ABCAC_HUMAN,ABCA12,Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12) (ATP-binding cassette transporter 12) (ATP-binding cassette 12),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,12,CY:1-23;TM:24-43;NC:44-1066;TM:1067-1090;CY:1091-1110;TM:1111-1133;NC:1134-1144;TM:1145-1167;CY:1168-1173;TM:1174-1196;NC:1197-1249;TM:1250-1271;CY:1272-1745;TM:1746-1765;NC:1766-1986;TM:1987-2009;CY:2010-2039;TM:2040-2061;NC:2062-2067;TM:2068-2089;CY:2090-2098;TM:2099-2123;NC:2124-2185;TM:2186-2207;CY:2208-2595,Membrane (Multi-pass membrane protein),Alternative splicing;ATP-binding;Complete proteome;Disease mutation;Glycoprotein;Ichthyosis;Membrane;Nucleotide-binding;Polymorphism;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport,0,0,SURFY,0,0,0,0,0,,,,Membrane|Transmembrane|Transmembrane helix,external_surface: SURFY positive surfaceome member tm_domains=12 topology=CY:1-23;TM:24-43;NC:44-1066;TM:1067-1090;CY:1091-1110;TM:1111-1133;NC:1134-1144;TM:1145-1167;CY:1168-1173;TM:1174-1196;NC:1197-1249;TM:1250-1271;CY:1272-1745;TM:1746-1765;NC:1766-1986;TM:1987-2009;CY:2010-2039;TM:2040-2061;NC:2062-2067;TM:2068-2089;CY:2090-2098;TM:2099-2123;NC:2124-2185;TM:2186-2207;CY:2208-2595,broad cell-surface count is inflated by multipass membrane proteins | surface topology assigned from SURFY topology metadata,0,0,0,0,0,0,0,0,0
Q86UQ4,ABCAD_HUMAN,ABCA13,ATP-binding cassette sub-family A member 13 (EC 7.6.2.-),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,14,CY:1-23;TM:24-43;NC:44-3569;TM:3570-3591;CY:3592-3611;TM:3612-3636;NC:3637-3647;TM:3648-3669;CY:3670-3677;TM:3678-3699;NC:3700-3704;TM:3705-3729;CY:3730-3749;TM:3750-3773;NC:3774-4229;TM:4230-4249;CY:4250-4455;TM:4456-4477;NC:4478-4507;TM:4508-4529;CY:4530-4535;TM:4536-4556;NC:4557-4567;TM:4568-4592;CY:4593-4606;TM:4607-4625;NC:4626-4652;TM:4653-4675;CY:4676-5058,Membrane (Multi-pass membrane protein),Alternative splicing;ATP-binding;Complete proteome;Membrane;Nucleotide-binding;Polymorphism;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport,0,0,SURFY,0,0,0,0,0,,,,Membrane|Transmembrane|Transmembrane helix,external_surface: SURFY positive surfaceome member tm_domains=14 topology=CY:1-23;TM:24-43;NC:44-3569;TM:3570-3591;CY:3592-3611;TM:3612-3636;NC:3637-3647;TM:3648-3669;CY:3670-3677;TM:3678-3699;NC:3700-3704;TM:3705-3729;CY:3730-3749;TM:3750-3773;NC:3774-4229;TM:4230-4249;CY:4250-4455;TM:4456-4477;NC:4478-4507;TM:4508-4529;CY:4530-4535;TM:4536-4556;NC:4557-4567;TM:4568-4592;CY:4593-4606;TM:4607-4625;NC:4626-4652;TM:4653-4675;CY:4676-5058,broad cell-surface count is inflated by multipass membrane proteins | surface topology assigned from SURFY topology metadata,0,0,0,0,0,0,0,0,0
Q9BZC7,ABCA2_HUMAN,ABCA2,ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,14,NC:1-21;TM:22-42;CY:43-53;TM:54-73;NC:74-705;TM:706-728;CY:729-748;TM:749-771;NC:772-782;TM:783-805;CY:806-811;TM:812-831;NC:832-891;TM:892-913;CY:914-1456;TM:1457-1478;NC:1479-1791;TM:1792-1814;CY:1815-1823;TM:1824-1842;NC:1843-1847;TM:1848-1866;CY:1867-1874;TM:1875-1897;NC:1898-1902;TM:1903-1925;CY:1926-1987;TM:1988-2013;NC:2014-2435,Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein),Alternative splicing;ATP-binding;Complete proteome;Endosome;Glycoprotein;Lysosome;Membrane;Nucleotide-binding;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport,0,0,SURFY,0,0,0,0,0,,,,Membrane|Transmembrane|Transmembrane helix,external_surface: SURFY positive surfaceome member tm_domains=14 topology=NC:1-21;TM:22-42;CY:43-53;TM:54-73;NC:74-705;TM:706-728;CY:729-748;TM:749-771;NC:772-782;TM:783-805;CY:806-811;TM:812-831;NC:832-891;TM:892-913;CY:914-1456;TM:1457-1478;NC:1479-1791;TM:1792-1814;CY:1815-1823;TM:1824-1842;NC:1843-1847;TM:1848-1866;CY:1867-1874;TM:1875-1897;NC:1898-1902;TM:1903-1925;CY:1926-1987;TM:1988-2013;NC:2014-2435,broad cell-surface count is inflated by multipass membrane proteins | surface topology assigned from SURFY topology metadata,0,0,0,0,0,0,0,0,0
